DL,UL,Timestamp,content,A,B,C,D
4652.017,4219.716,126,"Location[gps 40.155068,-88.273596 acc=10 et=+18h6m8s190ms alt=194.0 vel=31.75 bear=40.5 {Bundle[mParcelledData.dataSize=40]}]",10,194,31.75,40.5
1388.4502,3600.5076,127,"Location[gps 40.155068,-88.273596 acc=10 et=+18h6m8s190ms alt=194.0 vel=31.75 bear=40.5 {Bundle[mParcelledData.dataSize=40]}]",10,194,31.75,40.5
4587.1807,4946.7847,128,"Location[gps 40.155068,-88.273596 acc=10 et=+18h6m8s190ms alt=194.0 vel=31.75 bear=40.5 {Bundle[mParcelledData.dataSize=40]}]",10,194,31.75,40.5
4747.6895,4571.359,129,"Location[gps 40.159586,-88.268296 acc=26 et=+18h6m30s169ms alt=196.0 vel=31.0 bear=42.2 {Bundle[mParcelledData.dataSize=40]}]",26,196,31,42.2
5780.7793,4231.3403,130,"Location[gps 40.160816,-88.267057 acc=12 et=+18h6m35s169ms alt=192.0 vel=31.25 bear=41.2 {Bundle[mParcelledData.dataSize=40]}]",12,192,31.25,41.2
5667.684,4510.9443,131,"Location[gps 40.161590,-88.266004 acc=9 et=+18h6m39s175ms alt=200.0 vel=31.0 bear=42.2 {Bundle[mParcelledData.dataSize=40]}]",9,200,31,42.2
6984.1445,4591.858,132,"Location[gps 40.162437,-88.265011 acc=8 et=+18h6m43s169ms alt=195.0 vel=31.5 bear=41.0 {Bundle[mParcelledData.dataSize=40]}]",8,195,31.5,41
3938.1963,4876.116,133,"Location[gps 40.163281,-88.264003 acc=6 et=+18h6m47s170ms alt=192.0 vel=31.5 bear=40.8 {Bundle[mParcelledData.dataSize=40]}]",6,192,31.5,40.8
1891.8677,9469.646,134,"Location[gps 40.164159,-88.263067 acc=6 et=+18h6m51s168ms alt=188.0 vel=31.25 bear=41.3 {Bundle[mParcelledData.dataSize=40]}]",6,188,31.25,41.3
1803.6658,3646.668,135,"Location[gps 40.165508,-88.261729 acc=17 et=+18h6m57s169ms alt=187.0 vel=31.0 bear=35.4 {Bundle[mParcelledData.dataSize=40]}]",17,187,31,35.4
